"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2019","27,675.04","27,579.85","27,675.04","27,368.84","187.08M","0.35%"
"Sep 26, 2019","27,579.85","27,283.05","27,579.85","27,281.38","183.46M","1.09%"
"Sep 25, 2019","27,283.05","27,360.45","27,371.59","27,267.16","462.31M","-0.25%"
"Sep 24, 2019","27,352.24","27,635.68","27,635.68","27,352.24","154.03M","-1.08%"
"Sep 23, 2019","27,650.28","27,698.69","27,704.62","27,650.82","109.56M","-0.17%"
"Sep 20, 2019","27,698.69","27,667.31","27,715.27","27,576.27","177.41M","0.19%"
"Sep 19, 2019","27,646.15","27,681.61","27,698.44","27,577.69","245.43M","-0.13%"
"Sep 18, 2019","27,681.61","27,407.04","27,700.07","27,386.36","378.80M","1.00%"
"Sep 17, 2019","27,407.04","27,574.32","27,646.96","27,371.89","196.91M","-0.61%"
"Sep 16, 2019","27,574.32","27,779.00","27,984.08","27,538.33","268.35M","-0.74%"
"Sep 13, 2019","27,779.00","27,426.64","27,779.73","27,426.64","165.24M","1.28%"
"Sep 12, 2019","27,426.64","27,153.53","27,439.54","27,142.88","115.30M","1.01%"
"Sep 11, 2019","27,153.53","27,047.58","27,157.66","27,009.52","211.52M","0.39%"
"Sep 10, 2019","27,047.58","27,089.84","27,148.69","26,977.36","364.22M","-0.16%"
"Sep 09, 2019","27,089.84","27,146.57","27,231.76","27,086.61","290.49M","-0.21%"
"Sep 06, 2019","27,146.57","27,252.09","27,582.15","26,895.56","311.26M","-0.39%"
"Sep 05, 2019","27,252.09","27,319.64","27,319.64","27,273.14","133.34M","-0.25%"
"Sep 04, 2019","27,319.64","27,590.44","27,606.85","27,283.67","250.45M","-0.97%"
"Sep 03, 2019","27,586.79","27,565.09","27,606.28","27,481.18","294.40M","0.08%"
"Sep 02, 2019","27,565.14","27,540.42","27,677.37","27,463.76","111.50M","0.14%"
"Aug 30, 2019","27,525.81","27,425.57","27,602.39","27,326.40","124.74M","0.37%"
"Aug 29, 2019","27,425.57","27,607.02","27,643.50","27,423.36","116.07M","-0.66%"
"Aug 28, 2019","27,607.02","27,602.77","27,626.37","27,546.34","130.37M","0.02%"
"Aug 27, 2019","27,602.77","27,691.85","27,691.85","27,475.64","183.65M","-0.32%"
"Aug 26, 2019","27,691.85","27,800.17","27,851.37","27,601.78","158.27M","-0.39%"
"Aug 23, 2019","27,800.17","27,629.66","27,849.25","27,624.27","339.62M","0.62%"
"Aug 22, 2019","27,629.66","27,352.94","27,650.89","27,352.94","272.60M","1.01%"
"Aug 21, 2019","27,352.94","27,058.03","27,352.94","27,043.28","363.97M","1.09%"
"Aug 20, 2019","27,058.62","27,128.77","27,217.88","26,938.05","209.62M","-0.22%"
"Aug 19, 2019","27,117.22","26,928.80","27,172.42","26,928.35","250.74M","0.71%"
"Aug 16, 2019","26,925.29","27,058.88","27,203.58","26,789.38","258.29M","-0.47%"
"Aug 15, 2019","27,052.93","27,083.11","27,120.09","26,895.43","233.09M","-0.11%"
"Aug 14, 2019","27,083.11","27,303.13","27,307.60","27,083.11","235.12M","-0.82%"
"Aug 09, 2019","27,306.81","27,424.92","27,434.59","27,306.81","220.80M","-0.43%"
"Aug 08, 2019","27,424.92","27,412.13","27,450.92","27,308.64","279.63M","0.05%"
"Aug 07, 2019","27,412.13","27,527.40","27,534.56","27,404.26","128.92M","-0.42%"
"Aug 06, 2019","27,527.40","27,669.38","27,706.47","27,521.00","170.72M","-0.51%"
"Aug 05, 2019","27,669.38","27,630.46","27,674.85","27,584.11","280.69M","0.14%"
"Aug 02, 2019","27,630.46","27,748.46","27,792.77","27,623.58","161.65M","-0.43%"
"Aug 01, 2019","27,748.46","27,718.26","27,748.46","27,615.46","97.36M","0.11%"
"Jul 31, 2019","27,718.26","27,816.89","27,902.51","27,679.02","251.92M","-0.37%"
"Jul 30, 2019","27,820.57","27,950.36","28,028.27","27,814.13","155.18M","-0.46%"
"Jul 29, 2019","27,950.36","27,918.59","27,976.14","27,912.70","92.79M","0.11%"
"Jul 26, 2019","27,918.59","27,990.61","28,031.67","27,900.57","130.85M","-0.26%"
"Jul 25, 2019","27,990.61","28,088.74","28,103.69","27,985.62","359.11M","-0.35%"
"Jul 24, 2019","28,088.74","28,144.87","28,292.44","28,070.65","157.77M","-0.20%"
"Jul 23, 2019","28,144.87","27,808.69","28,144.87","27,791.98","135.18M","1.21%"
"Jul 22, 2019","27,808.69","27,919.50","28,070.43","27,808.69","285.76M","-0.40%"
"Jul 19, 2019","27,919.50","27,864.49","27,948.24","27,803.57","273.90M","0.20%"
"Jul 18, 2019","27,864.49","28,046.02","28,067.62","27,864.49","175.36M","-0.64%"
"Jul 17, 2019","28,042.80","28,197.66","28,251.78","28,042.68","243.70M","-0.56%"
"Jul 16, 2019","28,200.88","28,340.98","28,566.41","28,138.50","216.68M","-0.49%"
"Jul 15, 2019","28,341.03","28,566.79","28,577.41","28,337.52","175.17M","-0.79%"
"Jul 12, 2019","28,566.79","28,712.90","28,759.29","28,563.31","100.37M","-0.51%"
"Jul 11, 2019","28,712.90","29,256.60","29,281.36","28,637.58","188.43M","-1.86%"
"Jul 10, 2019","29,256.60","29,318.02","29,318.02","29,010.33","188.74M","-0.21%"
"Jul 09, 2019","29,318.85","29,287.87","29,318.85","28,943.48","294.40M","0.11%"
"Jul 08, 2019","29,287.87","29,270.95","29,312.93","29,216.70","216.29M","0.06%"
"Jul 05, 2019","29,270.95","29,300.09","29,318.09","29,235.28","298.40M","-0.10%"
"Jul 04, 2019","29,300.09","29,375.25","29,466.94","29,300.09","180.40M","-0.26%"
"Jul 03, 2019","29,375.25","29,395.14","29,458.03","29,300.70","237.71M","-0.07%"
"Jul 02, 2019","29,395.14","29,614.61","29,616.93","29,395.14","200.68M","-0.74%"
"Jul 01, 2019","29,614.61","29,966.87","29,966.88","29,593.82","107.43M","-1.18%"
"Jun 28, 2019","29,966.87","29,749.35","29,978.81","29,650.45","248.36M","0.73%"
"Jun 27, 2019","29,749.35","29,609.00","29,756.79","29,224.23","301.06M","0.47%"
"Jun 26, 2019","29,609.00","29,668.68","29,697.43","29,588.54","394.02M","-0.20%"
"Jun 25, 2019","29,668.68","29,809.20","29,814.38","29,655.53","253.37M","-0.47%"
"Jun 24, 2019","29,809.20","29,851.29","29,890.01","29,694.91","573.53M","-0.14%"
"Jun 21, 2019","29,851.29","29,803.69","29,890.61","29,747.39","189.94M","0.29%"
"Jun 20, 2019","29,765.31","29,774.81","29,897.18","29,695.62","275.47M","-0.02%"
"Jun 19, 2019","29,772.72","29,818.80","29,891.86","29,772.72","263.43M","-0.15%"
"Jun 18, 2019","29,818.80","29,936.33","29,936.33","29,797.11","2.06B","-0.39%"
"Jun 17, 2019","29,936.33","30,046.70","30,087.86","29,933.25","2.06B","-0.37%"
"Jun 14, 2019","30,046.70","30,029.23","30,086.61","29,994.53","145.28M","0.06%"
"Jun 13, 2019","30,029.15","30,099.83","30,150.05","30,022.92","242.56M","-0.23%"
"Jun 11, 2019","30,099.83","30,322.19","30,322.19","30,055.56","233.43M","-0.73%"
"Jun 10, 2019","30,322.19","30,432.13","30,459.43","30,306.76","247.28M","-0.36%"
"Jun 07, 2019","30,432.13","30,529.90","30,982.78","30,380.98","280.00M","-0.31%"
"Jun 06, 2019","30,527.07","30,928.29","30,948.16","30,136.14","217.19M","-1.30%"
"Jun 03, 2019","30,928.29","31,069.37","31,100.03","30,867.74","-","-0.45%"
"May 31, 2019","31,069.37","31,254.19","31,257.75","30,992.94","-","-0.59%"
"May 30, 2019","31,254.19","31,307.00","31,420.68","31,078.83","-","-0.17%"
"May 28, 2019","31,307.00","30,194.71","31,307.00","30,149.07","-","3.68%"
"May 27, 2019","30,194.71","30,881.29","30,885.33","30,188.62","-","-2.22%"
"May 24, 2019","30,881.29","31,754.79","31,809.29","30,825.17","-","-1.89%"
"May 23, 2019","31,477.51","31,145.15","31,917.13","30,902.23","-","1.07%"
"May 22, 2019","31,145.15","30,218.14","31,194.69","30,218.14","-","3.07%"
"May 21, 2019","30,218.14","29,373.40","30,270.34","29,361.88","-","2.88%"
"May 20, 2019","29,373.40","28,871.93","29,438.95","28,871.93","-","1.74%"
"May 17, 2019","28,871.93","28,438.19","28,918.54","28,438.19","-","1.53%"
"May 16, 2019","28,438.19","28,286.08","28,452.00","28,019.97","-","0.54%"
"May 15, 2019","28,286.08","28,422.76","28,433.39","28,282.30","-","-0.48%"
"May 14, 2019","28,422.76","28,484.44","28,535.31","28,398.98","-","-0.22%"
"May 13, 2019","28,484.44","28,847.98","28,876.87","28,542.51","-","-1.26%"
"May 10, 2019","28,847.81","28,896.25","28,896.25","28,718.68","-","-0.17%"
"May 09, 2019","28,896.25","28,966.41","29,015.77","28,881.83","-","-0.24%"
"May 08, 2019","28,966.41","29,096.41","29,115.30","28,946.91","-","-0.45%"
"May 07, 2019","29,096.41","29,196.87","29,208.63","29,091.60","-","-0.34%"
"May 06, 2019","29,196.87","29,212.00","29,212.00","29,120.86","-","-0.05%"
"May 03, 2019","29,212.00","29,171.73","29,222.73","29,143.73","-","0.14%"
"May 02, 2019","29,171.73","29,159.74","29,195.70","29,104.10","-","0.04%"
"Apr 30, 2019","29,159.74","29,521.06","29,654.53","29,154.78","-","-1.22%"
"Apr 29, 2019","29,521.06","29,740.41","29,813.37","29,476.29","-","-0.74%"
"Apr 26, 2019","29,740.41","29,919.19","30,041.37","29,740.41","-","-0.60%"
"Apr 25, 2019","29,919.77","29,898.31","29,986.11","29,862.84","-","0.07%"
"Apr 24, 2019","29,898.31","30,080.73","30,113.65","29,854.02","-","-0.59%"
"Apr 23, 2019","30,076.00","30,086.31","30,131.93","30,006.33","-","-0.03%"
"Apr 18, 2019","30,086.31","29,999.25","30,132.98","29,980.89","-","0.39%"
"Apr 17, 2019","29,970.86","29,793.56","30,033.22","29,728.55","-","0.76%"
"Apr 16, 2019","29,746.24","29,495.91","29,746.24","29,495.91","-","0.85%"
"Apr 15, 2019","29,495.91","29,560.47","29,630.86","29,484.93","-","-0.22%"
"Apr 12, 2019","29,560.47","29,347.62","29,566.55","29,312.86","-","0.73%"
"Apr 11, 2019","29,347.62","29,180.88","29,347.62","29,172.35","-","0.53%"
"Apr 10, 2019","29,193.42","29,158.57","29,213.93","29,124.02","-","0.15%"
"Apr 09, 2019","29,149.46","29,159.92","29,160.11","28,989.49","-","-0.04%"
"Apr 08, 2019","29,162.24","29,616.38","29,620.93","28,780.02","-","-1.53%"
"Apr 05, 2019","29,616.38","29,553.12","29,628.40","29,536.48","-","0.21%"
"Apr 04, 2019","29,553.12","29,626.14","29,662.09","29,548.65","-","-0.39%"
"Apr 03, 2019","29,668.73","30,226.77","30,243.71","29,665.78","-","-1.85%"
"Apr 02, 2019","30,226.77","30,527.88","30,712.37","30,212.62","-","-0.99%"
"Apr 01, 2019","30,527.50","31,041.42","31,041.42","30,527.50","-","-1.66%"
"Mar 29, 2019","31,041.42","30,833.50","31,106.74","30,786.33","-","0.67%"
"Mar 28, 2019","30,833.50","30,829.45","30,896.86","30,770.60","-","0.01%"
"Mar 27, 2019","30,829.45","31,038.86","31,066.07","30,811.14","-","-0.67%"
"Mar 26, 2019","31,038.86","31,042.32","31,094.87","31,007.76","-","-0.01%"
"Mar 25, 2019","31,042.32","31,139.35","31,139.35","30,996.82","-","-0.31%"
"Mar 22, 2019","31,139.35","30,885.31","31,156.19","30,885.31","-","0.82%"
"Mar 21, 2019","30,885.31","31,066.10","31,077.89","30,856.23","-","-0.50%"
"Mar 20, 2019","31,040.84","31,082.32","31,104.90","31,015.27","-","-0.13%"
"Mar 19, 2019","31,082.32","31,125.39","31,133.59","30,965.22","-","-0.14%"
"Mar 18, 2019","31,125.39","31,142.72","31,156.47","31,103.67","-","-0.06%"
"Mar 15, 2019","31,142.72","31,175.88","31,265.21","31,102.10","-","-0.22%"
"Mar 14, 2019","31,210.79","31,369.91","31,390.78","31,210.79","-","-0.48%"
"Mar 13, 2019","31,360.28","31,313.36","31,360.28","31,057.66","-","0.15%"
"Mar 12, 2019","31,313.36","31,636.66","31,645.24","31,267.99","-","-1.02%"
"Mar 11, 2019","31,636.66","31,718.23","31,792.81","31,636.66","-","-0.90%"
"Mar 08, 2019","31,924.51","32,010.06","32,043.49","31,876.24","-","-0.27%"
"Mar 07, 2019","32,010.06","32,121.74","32,159.87","32,041.74","-","-0.35%"
"Mar 06, 2019","32,121.74","32,173.66","32,173.66","32,062.03","-","-0.16%"
"Mar 05, 2019","32,173.66","32,129.94","32,252.89","32,126.42","-","0.14%"
"Mar 04, 2019","32,129.94","31,827.24","32,129.94","31,827.24","-","0.95%"
"Mar 01, 2019","31,827.24","31,718.70","31,935.28","31,708.89","-","0.34%"
"Feb 28, 2019","31,718.70","32,247.54","32,953.54","31,718.70","-","-1.63%"
"Feb 27, 2019","32,244.24","32,473.82","32,524.10","32,185.06","-","-0.71%"
"Feb 26, 2019","32,473.82","32,700.12","32,745.92","32,441.42","-","-0.69%"
"Feb 25, 2019","32,700.12","32,516.05","32,713.13","32,516.05","-","0.57%"
"Feb 22, 2019","32,515.52","32,568.66","32,617.13","32,473.74","-","-0.16%"
"Feb 21, 2019","32,568.66","32,646.16","32,734.37","32,568.66","-","-0.14%"
"Feb 20, 2019","32,614.06","32,410.13","32,617.94","32,392.46","-","0.64%"
"Feb 19, 2019","32,406.18","32,190.07","32,416.04","32,157.29","-","0.67%"
"Feb 18, 2019","32,190.07","32,715.20","32,738.95","31,824.22","-","-1.61%"
"Feb 15, 2019","32,715.20","32,457.63","32,958.96","32,457.63","-","0.81%"
"Feb 14, 2019","32,453.69","32,413.92","32,496.18","32,367.49","-","0.12%"
"Feb 13, 2019","32,413.92","32,463.38","32,635.13","32,267.37","-","-0.15%"
"Feb 12, 2019","32,462.31","31,783.00","32,462.69","31,783.00","-","2.14%"
"Feb 11, 2019","31,781.87","31,529.92","31,891.23","31,515.44","-","0.80%"
"Feb 08, 2019","31,529.92","31,457.17","31,845.63","31,457.17","-","0.31%"
"Feb 07, 2019","31,433.49","30,817.22","31,433.49","30,817.22","-","1.98%"
"Feb 06, 2019","30,821.80","30,773.57","30,825.20","30,728.01","-","0.16%"
"Feb 05, 2019","30,773.57","30,745.05","30,773.57","30,521.42","-","0.09%"
"Feb 04, 2019","30,745.05","30,636.36","30,754.09","30,636.36","-","0.35%"
"Feb 01, 2019","30,636.36","30,557.20","30,740.63","30,557.20","-","0.26%"
"Jan 31, 2019","30,557.20","31,142.58","31,142.58","30,557.20","-","-1.89%"
"Jan 30, 2019","31,145.34","31,178.71","31,202.30","31,143.37","-","-0.11%"
"Jan 29, 2019","31,178.71","31,334.61","31,334.61","31,178.71","-","-0.53%"
"Jan 28, 2019","31,344.24","31,422.75","31,457.07","31,241.99","-","-0.26%"
"Jan 25, 2019","31,426.63","30,989.60","31,428.64","30,981.90","-","1.41%"
"Jan 24, 2019","30,989.60","30,886.32","30,989.60","30,866.96","-","0.36%"
"Jan 23, 2019","30,878.56","30,736.88","30,880.67","30,736.88","-","0.46%"
"Jan 22, 2019","30,736.88","30,732.72","30,811.19","30,485.34","-","0.01%"
"Jan 21, 2019","30,732.72","31,005.17","31,041.06","30,720.76","-","-0.88%"
"Jan 18, 2019","31,005.17","30,566.38","31,005.17","30,526.18","-","1.38%"
"Jan 17, 2019","30,583.21","30,460.68","30,597.02","30,297.38","-","0.40%"
"Jan 16, 2019","30,460.68","30,138.06","30,541.04","30,001.87","-","1.65%"
"Jan 15, 2019","29,964.79","29,964.79","30,172.40","29,964.79","-","0.00%"
"Jan 14, 2019","29,964.79","29,830.70","29,985.66","29,689.73","-","0.45%"
"Jan 11, 2019","29,830.70","29,522.31","30,438.21","29,518.35","-","1.06%"
"Jan 10, 2019","29,517.73","29,336.80","29,612.33","29,329.62","-","0.62%"
"Jan 09, 2019","29,336.80","30,036.15","30,084.28","29,336.80","-","-2.33%"
"Jan 08, 2019","30,036.15","30,397.63","30,488.52","29,999.95","-","-1.20%"
"Jan 07, 2019","30,400.28","30,638.90","30,709.65","30,260.03","-","-0.78%"
"Jan 04, 2019","30,638.90","30,770.70","30,770.70","30,577.18","-","-0.43%"
"Jan 03, 2019","30,771.32","31,070.06","31,078.43","30,749.66","-","-0.96%"
"Jan 02, 2019","31,070.06","31,429.34","31,434.04","31,065.25","-","-1.15%"
"Dec 31, 2018","31,430.50","31,036.63","31,430.50","30,753.93","-","1.27%"
"Dec 28, 2018","31,037.72","31,693.17","31,771.38","31,029.89","-","-2.07%"
"Dec 27, 2018","31,692.63","31,967.01","31,967.01","31,569.28","-","-0.86%"
"Dec 24, 2018","31,967.01","30,773.64","31,967.01","30,773.64","-","3.88%"
"Dec 21, 2018","30,773.64","30,802.90","30,911.22","30,704.47","-","-0.09%"
"Dec 20, 2018","30,802.90","30,704.98","30,802.90","30,506.79","-","0.32%"
"Dec 19, 2018","30,704.98","30,814.19","30,884.63","30,696.38","-","-0.38%"
"Dec 18, 2018","30,822.33","30,609.06","30,822.33","30,606.83","-","0.70%"
"Dec 17, 2018","30,609.06","30,700.50","30,722.25","30,553.90","-","-0.21%"
"Dec 14, 2018","30,672.79","30,568.05","30,754.26","30,568.05","-","0.34%"
"Dec 13, 2018","30,568.05","30,642.35","30,735.20","30,567.25","-","-0.24%"
"Dec 12, 2018","30,642.35","30,710.12","30,771.47","30,611.08","-","-0.25%"
"Dec 11, 2018","30,718.72","30,614.73","30,769.61","30,542.86","-","0.34%"
"Dec 10, 2018","30,614.73","30,866.82","31,213.77","30,614.73","-","-0.82%"
"Dec 07, 2018","30,866.82","30,819.10","30,993.02","30,774.51","-","0.15%"
"Dec 06, 2018","30,819.10","31,151.68","31,160.36","30,773.13","-","-1.07%"
"Dec 05, 2018","31,151.68","31,007.25","31,180.32","30,925.25","-","0.47%"
"Dec 04, 2018","31,007.25","30,798.76","31,025.33","30,792.47","-","0.68%"
"Dec 03, 2018","30,798.76","30,874.17","30,895.40","30,732.76","-","-0.24%"
"Nov 30, 2018","30,874.17","30,611.55","31,014.82","30,570.99","-","0.86%"
"Nov 29, 2018","30,611.55","31,023.47","31,061.18","30,545.20","-","-1.33%"
"Nov 28, 2018","31,023.47","31,173.71","31,295.97","30,993.97","-","-0.48%"
"Nov 27, 2018","31,173.71","31,533.50","31,551.61","31,147.49","-","-1.29%"
"Nov 26, 2018","31,579.72","31,678.70","31,779.90","31,562.31","-","-0.31%"
"Nov 23, 2018","31,678.70","31,984.60","31,998.15","31,610.43","-","-0.96%"
"Nov 22, 2018","31,984.60","31,969.79","31,999.72","31,934.90","-","0.05%"
"Nov 21, 2018","31,969.79","32,222.24","32,357.22","31,968.13","-","-0.78%"
"Nov 19, 2018","32,222.24","32,057.01","32,226.73","32,026.17","-","0.51%"
"Nov 16, 2018","32,058.28","31,864.80","32,150.75","31,854.43","-","0.61%"
"Nov 15, 2018","31,864.80","32,108.92","32,117.61","31,859.77","-","-0.76%"
"Nov 14, 2018","32,108.92","32,146.55","32,191.60","32,101.59","-","-0.14%"
"Nov 13, 2018","32,152.90","32,136.43","32,402.92","32,101.80","-","0.03%"
"Nov 12, 2018","32,143.41","32,202.73","32,218.71","32,123.14","-","-0.18%"
"Nov 09, 2018","32,200.21","32,228.50","32,253.44","32,126.60","-","-0.09%"
"Nov 08, 2018","32,228.50","32,108.30","32,246.75","32,103.41","-","0.37%"
"Nov 07, 2018","32,108.30","32,154.03","32,218.20","32,083.25","-","-0.14%"
"Nov 06, 2018","32,154.03","32,048.18","32,212.00","31,949.33","-","0.33%"
"Nov 05, 2018","32,048.18","32,130.02","32,182.93","32,033.91","-","-0.24%"
"Nov 02, 2018","32,124.94","32,006.65","32,200.93","32,006.65","-","0.37%"
"Nov 01, 2018","32,006.65","32,458.05","32,477.99","32,006.65","-","-1.42%"
"Oct 31, 2018","32,466.27","33,168.96","33,215.73","32,399.67","-","-2.12%"
"Oct 30, 2018","33,167.88","33,196.07","33,577.11","32,828.11","-","-0.08%"
"Oct 29, 2018","33,196.07","32,907.33","33,200.37","32,735.95","-","0.88%"
"Oct 26, 2018","32,907.33","32,545.06","32,907.33","32,326.90","-","1.11%"
"Oct 25, 2018","32,545.06","32,403.60","32,570.86","32,397.42","-","0.44%"
"Oct 24, 2018","32,403.60","33,191.45","33,201.34","32,403.60","-","-2.37%"
"Oct 23, 2018","33,191.45","32,962.82","33,269.00","32,962.82","-","0.69%"
"Oct 22, 2018","32,962.82","32,841.69","32,986.93","32,841.69","-","0.37%"
"Oct 19, 2018","32,841.69","32,664.63","32,897.48","32,639.31","-","0.54%"
"Oct 18, 2018","32,664.63","32,437.35","32,877.32","32,402.65","-","0.70%"
"Oct 17, 2018","32,437.35","32,722.18","32,722.18","32,418.90","-","-0.87%"
"Oct 16, 2018","32,722.18","32,413.00","32,736.75","32,413.00","-","0.95%"
"Oct 15, 2018","32,413.00","32,456.98","32,474.42","32,396.73","-","-0.14%"
"Oct 12, 2018","32,456.98","32,417.82","32,456.98","32,335.75","162.36M","0.12%"
"Oct 11, 2018","32,417.82","32,382.58","32,443.08","32,330.67","147.52M","0.11%"
"Oct 10, 2018","32,382.58","32,417.70","32,466.73","32,382.58","134.45M","-0.11%"
"Oct 09, 2018","32,417.70","32,444.96","32,477.47","32,336.24","349.53M","-0.08%"
"Oct 08, 2018","32,444.96","32,383.15","32,476.28","32,383.15","120.72M","0.19%"
"Oct 05, 2018","32,383.15","32,423.57","32,424.98","32,332.30","166.65M","-0.12%"
"Oct 04, 2018","32,423.57","32,454.03","32,526.70","32,395.25","151.14M","-0.09%"
"Oct 03, 2018","32,454.03","32,711.65","32,728.72","32,434.67","136.70M","-0.79%"
"Oct 02, 2018","32,711.65","32,762.34","32,815.19","32,695.45","184.59M","-0.17%"
"Sep 28, 2018","32,766.37","32,763.35","32,817.46","32,661.14","184.53M","0.01%"
"Sep 27, 2018","32,763.35","32,963.27","32,983.99","32,684.66","154.28M","-0.61%"
"Sep 26, 2018","32,963.27","33,114.44","33,202.30","32,952.70","172.19M","-0.46%"
"Sep 25, 2018","33,114.44","32,646.43","33,230.46","32,646.43","222.95M","2.04%"
"Sep 24, 2018","32,451.27","32,540.17","32,577.92","32,427.54","190.46M","-0.27%"
"Sep 21, 2018","32,540.17","32,480.89","32,784.33","32,475.85","330.38M","0.18%"
"Sep 20, 2018","32,480.89","32,375.12","32,480.89","32,330.18","225.93M","0.33%"
"Sep 19, 2018","32,375.12","32,350.90","32,392.93","32,269.75","190.02M","-0.02%"
"Sep 18, 2018","32,381.00","32,201.98","32,381.00","32,180.72","269.81M","0.56%"
"Sep 17, 2018","32,201.98","32,327.59","32,378.72","32,201.98","160.67M","-0.39%"
"Sep 14, 2018","32,327.59","32,022.04","32,446.48","32,022.04","251.69M","0.95%"
"Sep 13, 2018","32,022.23","32,292.79","32,321.64","31,938.59","173.47M","-0.84%"
"Sep 12, 2018","32,292.79","33,449.17","33,449.64","32,269.65","246.88M","-3.46%"
"Sep 11, 2018","33,449.17","33,607.01","33,609.86","33,114.12","150.67M","-0.48%"
"Sep 10, 2018","33,611.69","34,014.49","34,014.49","33,594.44","137.63M","-1.25%"
"Sep 07, 2018","34,037.91","34,110.22","34,177.85","33,667.34","155.95M","-0.21%"
"Sep 06, 2018","34,110.22","34,414.37","34,438.13","34,087.26","164.49M","-0.88%"
"Sep 05, 2018","34,414.37","34,933.68","34,963.29","34,146.21","200.27M","-1.71%"
"Sep 04, 2018","35,013.05","34,837.94","34,966.72","34,837.94","240.46M","0.50%"
"Sep 03, 2018","34,837.50","34,848.55","34,860.32","33,849.14","131.53M","-0.03%"
"Aug 31, 2018","34,848.45","35,086.67","35,086.67","34,113.89","384.89M","-0.68%"
